"","No..x","Name","Yr.x","Pos.x","g.x","ab","r","h","Doubles","Triples","hr","rbi","bb","k","sb","cs","avg","obp","slg","No..y","Yr.y","Pos.y","g.y","hbp","sf","sh","tb","xbh","hdp","go","fo","go/fo","pa","School","Singles","OPS","wOBA","wRAA","wSB","fOWar","wRC","Year","Position"
"1",25,"Chase  Henley","Sr.","1B",31,122,12,36,9,2,4,31,7,"16",0,0,"0.295",0.336,0.5,25,"Sr.","1B",31,2,3,1,61,15,"2","25","46","0.54",135,"Amherst",21,0.836,0.362836567164179,0.715454703228043,-0.528,0.350857387966171,33.3271226136758,"Senior","Infield"
"2",20,"Stephen  Burke","So.","SS",31,118,20,38,11,1,1,24,11,"19",7,2,"0.322",0.394,0.458,20,"So.","SS",31,5,3,0,54,13,"3","28","30","0.93",137,"Amherst",25,0.852,0.378996350364963,2.4422480620155,-0.1216,0.515517569512139,36.0347480620155,"Sophomore","Infield"
"3",24,"Joseph  Palmo","So.","CF",31,112,37,38,11,1,3,27,21,"13",7,0,"0.339",0.46,0.536,24,"So.","CF",31,4,0,3,60,15,"4","35","27","1.30",140,"Amherst",23,0.996,0.44330802919708,9.47528999038081,0.5552,1.10008657612631,45.8274651728626,"Sophomore","Outfield"
"4",16,"Kai  Terada-Herzer","So.","OF",31,111,30,36,3,1,0,9,20,"16",6,2,"0.324",0.444,0.369,16,"So.","OF",31,4,0,5,41,4,"2","36","22","1.64",140,"Amherst",0,0.813,0.167031111111111,-20.5082515073213,-0.0223999999999999,-1.18742401501906,7.14869664082689,"Sophomore","Outfield"
"5",6,"Nick  Nardone","Sr.","3B",31,108,19,27,3,0,0,15,25,"13",5,1,"0.25",0.388,0.278,6,"Sr.","3B",31,0,1,0,30,3,"2","26","36","0.72",134,"Amherst",0,0.666,0.16125,-20.2298449612403,0.16,-1.1679025669591,6.0676550387597,"Senior","Infield"
"6",3,"Daniel  Qin","Fy.","INF",29,101,19,32,7,1,1,17,16,"13",1,1,"0.317",0.417,0.436,3,"Fy.","INF",29,2,1,2,44,9,"4","23","33","0.70",122,"Amherst",23,0.853,0.3858175,2.81994961240311,-0.9216,0.44648325442139,32.9215179457364,"First-Year","Infield"
"7",10,"Severino  Simeone","Jr.","C",28,92,23,23,4,1,5,19,15,"26",2,1,"0.25",0.386,0.478,10,"Jr.","C",28,6,1,0,44,10,"-","22","22","1.00",114,"Amherst",13,0.864,0.387226315789474,2.75953488372093,-0.5984,0.446192730817435,30.9233348837209,"Junior","Catcher"
"8",15,"William  Murphy","Jr.","2B",23,70,13,17,1,1,1,9,10,"11",7,3,"0.243",0.338,0.329,15,"Jr.","2B",23,0,0,0,23,3,"1","16","21","0.76",80,"Amherst",14,0.667,0.30879375,-2.92751937984496,-0.2224,-0.0361716102678362,15.425980620155,"Junior","Infield"
"9",7,"Kevin  Schroeder","So.","C",14,37,4,7,1,0,0,3,4,"9",1,0,"0.189",0.286,0.216,7,"So.","C",14,1,0,1,8,1,"3","10","9","1.11",43,"Amherst",0,0.502,0.115792857142857,-8.00690476190476,0.112,-0.483650556030796,-0.00757380952380807,"Sophomore","Catcher"
"10",33,"Rob  Casey III","Jr.","DH",13,33,6,5,1,0,0,3,5,"13",0,0,"0.152",0.282,0.182,33,"Jr.","DH",13,1,0,1,6,1,"-","4","11","0.36",40,"Amherst",0,0.464,0.142892307692308,-6.60799045915325,-0.1056,-0.402713856723048,1.07693261776983,"Junior","Designated Hitter"
"11",23,"Kyler  Kopacz","So.","RHP",15,33,9,12,0,0,1,6,5,"8",1,0,"0.364",0.439,0.455,23,"So.","RHP",15,1,2,1,15,1,"1","7","9","0.78",42,"Amherst",0,0.894,0.156373170731707,-6.49947816222348,0.0944,-0.374631598968824,1.6969754963131,"Sophomore","Designated Hitter"
"12",8,"Topher  Brown","Jr.","OF",12,25,5,9,4,0,0,4,4,"6",0,1,"0.36",0.484,0.52,8,"Jr.","OF",12,2,0,2,13,4,"-","4","6","0.67",33,"Amherst",0,1.004,0.305438709677419,-1.29342835708927,-0.5056,-0.0523224818180592,6.25250067516879,"Junior","Outfield"
"13",1,"Tyler  Marshall","So.","2B",12,21,2,1,0,0,0,1,3,"2",2,0,"0.048",0.16,0.048,1,"So.","2B",12,0,1,2,1,0,"1","15","4","3.75",27,"Amherst",0,0.208,0.08514,-5.66916279069767,0.3472,-0.330985238824676,-0.832382790697674,"Sophomore","Infield"
"14",28,"Chris  Murphy","Fy.","INF",8,9,1,5,0,0,0,2,2,"1",0,1,"0.556",0.692,0.556,28,"Fy.","INF",8,2,0,1,5,0,"-","2","2","1.00",14,"Amherst",0,1.248,0.222276923076923,-1.45125819916518,-0.4704,-0.108906551833721,1.48831103160406,"First-Year","Infield"
"15",11,"Matt  Santos","Sr.","",5,6,0,1,0,0,0,1,1,"5",0,0,"0.167",0.25,0.167,11,"Sr.","",5,0,1,0,1,0,"-","-","1","-",8,"Amherst",0,0.417,0.0886875,-1.6577519379845,-0.0176,-0.105440514320197,-0.218251937984496,"Senior","Infield"
"16",44,"Aidan  Park","Fy.","1B",2,2,0,0,0,0,0,0,1,"1",0,0,"0",0.333,0,44,"Fy.","1B",2,0,0,0,0,0,"-","1","-","-",3,"Amherst",0,0.333,0.2365,-0.277906976744186,-0.0176,-0.0146337557443253,0.361593023255814,"First-Year","Infield"
"17",12,"Kaylen  Xie","So.","C",3,2,0,0,0,0,0,1,0,"2",0,0,"0",0,0,12,"So.","C",3,0,1,0,0,0,"-","-","1","-",3,"Amherst",0,0,0,-0.827906976744186,0,-0.0544840551455229,-0.347906976744186,"Sophomore","Catcher"
"18",2,"Christian  Beal","0","OF",35,146,32,54,9,2,1,17,11,"19",15,2,".370",0.446,0.479,2,"0","OF",35,9,0,0,70,12,"3","31","36","0.86",166,"Bates",42,0.925,0.416763253012048,7.81914728682171,1.1088,1.08243118414334,49.9318472868217,"Sophomore","Outfield"
"19",42,"Giovanni  Torres","0","INF",36,125,20,26,6,0,0,11,13,"17",3,1,".208",0.298,0.256,42,"0","INF",36,3,0,7,32,6,"1","44","38","1.16",148,"Bates",0,0.554,0.135953191489362,-25.2456803562593,-0.0816,-1.52649304063817,2.95766148771236,"Junior","Infield"
"20",4,"Jack  Arend","0","C",33,104,24,37,6,0,0,21,34,"14",9,2,".356",0.527,0.413,4,"0","C",33,7,3,1,43,6,"2","25","30","0.83",149,"Bates",0,0.94,0.250068243243243,-12.2355284936099,0.2784,-0.523238160699342,19.980788398282,"Junior","Catcher"
"21",15,"Kyle  Carter","0","INF",33,102,21,23,2,0,0,10,11,"19",4,2,".225",0.316,0.245,15,"0","INF",33,3,1,5,25,2,"3","30","32","0.94",122,"Bates",0,0.561,0.107610256410256,-23.4911230371695,-0.2464,-1.4723694888101,-1.01976577221228,"Junior","Infield"
"22",19,"Justin  White","0","C/1B",34,101,14,30,5,0,1,17,17,"20",3,1,".297",0.419,0.376,19,"0","C/1B",34,5,1,0,38,6,"2","23","27","0.85",124,"Bates",0,0.795,0.196100806451613,-15.3701550387597,-0.1872,-0.855091445016943,9.93634496124031,"Senior","Infield"
"23",28,"Bryan  Gotti","0","INF",31,86,10,24,5,0,2,14,12,"17",0,0,".279",0.37,0.407,28,"0","INF",31,1,1,1,35,7,"2","25","21","1.19",101,"Bates",0,0.777,0.199563,-12.2481682170543,-0.2288,-0.681908798681706,8.44299478294574,"First-Year","Infield"
"24",6,"Jon  Lindgren","0","OF",34,81,21,23,5,0,0,5,14,"23",10,2,".284",0.404,0.346,6,"0","OF",34,3,1,2,28,5,"-","18","18","1.00",101,"Bates",0,0.75,0.187766666666667,-13.1717571059432,0.9008,-0.666488805335066,7.25156511627908,"Junior","Outfield"
"25",18,"Antonio  Jareno","0","UTIL",28,78,8,23,6,0,1,11,8,"13",1,0,".295",0.36,0.41,18,"0","UTIL",28,0,0,0,32,7,"3","20","17","1.18",86,"Bates",0,0.77,0.18075,-11.6833333333333,0.0592,-0.655499001996008,5.57116666666667,"First-Year","Utility"
"26",20,"Dan  Trulli","0","INF",30,70,9,18,1,0,0,12,5,"11",0,0,".257",0.321,0.271,20,"0","INF",30,2,1,1,19,1,"3","20","20","1.00",79,"Bates",0,0.592,0.0808730769230769,-16.8488580799046,-0.1232,-1.07325784031222,-2.77257731067382,"Senior","Infield"
"27",43,"Andrew  Chi","0","INF",20,64,8,19,1,0,0,11,7,"11",0,2,".297",0.37,0.313,43,"0","INF",20,1,1,0,20,1,"2","16","15","1.07",73,"Bates",0,0.683,0.0957780821917808,-14.7257364341085,-0.9408,-0.99050921412988,-1.47393643410852,"First-Year","Infield"
"28",16,"Will  Sylvia","0","OF",22,53,6,14,2,0,0,9,12,"5",1,1,".264",0.388,0.302,16,"0","OF",22,0,2,0,16,2,"1","15","17","0.88",67,"Bates",0,0.69,0.165582089552239,-9.88992248062015,-0.4112,-0.603876433180151,3.32407751937985,"Junior","Outfield"
"29",10,"Pat  Beaton","0","OF",29,51,6,16,3,1,0,8,4,"14",5,0,".314",0.397,0.412,10,"0","OF",29,3,0,1,21,4,"2","13","9","1.44",59,"Bates",0,0.809,0.180377586206897,-8.03234295642876,0.8768,-0.388388943844468,3.80010704357124,"Junior","Outfield"
"30",8,"Noah  Loughlin","0","INF",25,50,3,10,3,0,0,14,7,"8",0,0,".200",0.295,0.26,8,"0","INF",25,1,3,1,13,3,"2","16","20","0.80",62,"Bates",0,0.555,0.156914754098361,-9.56843817511755,-0.1408,-0.572048765602611,2.53863723471852,"Sophomore","Infield"
"31",9,"Kevin  Lucey","0","INF/OF",23,35,7,8,0,0,0,1,1,"7",3,0,".229",0.289,0.229,9,"0","INF/OF",23,2,0,1,8,0,"-","12","8","1.50",39,"Bates",0,0.518,0.0573710526315789,-9.02831701346389,0.5472,-0.537508758492806,-2.28531964504284,"First-Year","Infield"
"32",23,"Colin  Coyne","0","INF",18,25,6,5,0,0,0,3,1,"7",0,1,".200",0.286,0.2,23,"0","INF",18,2,0,0,5,0,"-","9","4","2.25",28,"Bates",0,0.486,0.0778607142857143,-6.03713178294574,-0.4528,-0.415913057605719,-1.06703178294574,"Sophomore","Infield"
"33",25,"Leo  Watson","0","C/OF",8,15,1,1,0,1,0,2,0,"4",0,0,".067",0.125,0.2,25,"0","C/OF",8,1,0,0,3,1,"-","5","5","1.00",16,"Bates",0,0.325,0.14270625,-2.64550387596899,-0.0176,-0.15941396277213,0.427796124031008,"Junior","Catcher"
"34",17,"Dan  Brady","0","INF",6,6,0,1,0,0,0,0,1,"4",0,0,".167",0.286,0.167,17,"0","INF",6,0,0,0,1,0,"-","1","-","-",7,"Bates",0,0.453,0.101357142857143,-1.38178294573643,-0.0176,-0.0872791626050225,-0.102282945736434,"Sophomore","Infield"
"35",7,"Chris  Capo","0","OF",13,1,6,0,0,0,0,0,2,"-",1,0,".000",0.667,0,7,"0","OF",13,0,0,0,0,0,"-","1","-","-",3,"Bates",0,0.667,0.473,0.272093023255814,0.1648,0.0401866035371118,1.07109302325581,"First-Year","Outfield"
"36",5,"Rob  Matson","0","OF",9,0,2,0,0,0,0,0,0,"-",1,0,"-",0,0,5,"0","OF",9,0,0,0,0,0,"-","-","-","-",0,"Bates",0,0,NA,NA,0.2,NA,NA,"Sophomore","Outfield"
"37",4,"Eric  Mah","'20","IF",32,108,13,26,4,0,0,12,11,"6",5,1,"0.241",0.341,0.278,4,"'20","IF",32,6,1,0,30,4,"4","35","38","0.92",126,"Bowdoin",0,0.619,0.137907142857143,-21.3020930232558,0.3008,-1.25758181311795,2.76420697674419,"Junior","Infield"
"38",10,"Austin  Zakow","'21","3B/C",32,101,14,23,8,0,2,14,9,"16",3,2,"0.228",0.301,0.366,10,"'21","3B/C",32,2,1,0,37,10,"1","29","33","0.88",113,"Bowdoin",0,0.667,0.198523008849558,-13.794496124031,-0.3936,-0.780047115072181,9.328603875969,"Sophomore","Infield"
"39",33,"Colby  Joncas","'19","C",30,92,10,18,0,0,0,6,5,"11",0,0,"0.196",0.257,0.196,33,"'19","C",30,3,1,1,18,0,"3","39","24","1.63",102,"Bowdoin",0,0.453,0.0569643564356436,-23.6446787934607,-0.1408,-1.5258591911273,-6.01847285286668,"Senior","Catcher"
"40",24,"Jack  Wilhoite","'19","P/UT",28,85,19,26,5,0,4,15,7,"33",12,0,"0.306",0.398,0.506,24,"'19","P/UT",28,6,0,0,43,9,"-","6","19","0.32",98,"Bowdoin",0,0.904,0.248390816326531,-8.17496124031008,2.1712,-0.204872348326603,12.9773387596899,"Senior","Utility"
"41",29,"Nick  Merrill","'22","IF",27,78,13,17,6,0,0,9,9,"24",1,0,"0.218",0.311,0.295,29,"'22","IF",27,2,1,0,23,6,"1","13","23","0.57",90,"Bowdoin",0,0.606,0.17329,-12.7472093023256,0.00639999999999999,-0.72910249268904,5.15889069767442,"First-Year","Infield"
"42",9,"Gavin  Cann","'22","OF",26,74,9,20,4,2,0,9,8,"14",1,1,"0.27",0.341,0.378,9,"'22","OF",26,0,0,3,28,6,"-","19","22","0.86",85,"Bowdoin",0,0.719,0.16990243902439,-12.2622423898658,-0.3408,-0.731265647944044,4.58434297598791,"First-Year","Outfield"
"43",21,"Brandon  Lopez","'19","P/UT",25,67,9,18,6,1,0,9,12,"13",2,1,"0.269",0.383,0.388,21,"'19","P/UT",25,1,1,0,26,7,"3","18","18","1.00",81,"Bowdoin",0,0.771,0.228855555555556,-7.98348837209302,-0.2288,-0.412596435036903,9.14381162790698,"Senior","Utility"
"44",12,"Connor  Lee","'20","P/IF",25,62,10,16,5,0,0,6,1,"7",0,0,"0.258",0.303,0.339,12,"'20","P/IF",25,3,0,0,21,5,"1","19","16","1.19",66,"Bowdoin",0,0.642,0.1419,-10.9539534883721,-0.0704,-0.660505500626653,1.71144651162791,"Junior","Infield"
"45",26,"Brendan  O'Neil","'21","1B",26,61,2,10,4,0,1,4,11,"15",0,0,"0.164",0.292,0.279,26,"'21","1B",26,0,0,1,17,5,"3","15","22","0.68",73,"Bowdoin",0,0.571,0.209625,-8.28323643410853,-0.1936,-0.452358016525089,6.83688856589148,"Sophomore","Infield"
"46",5,"Chris  Attisani","'22","3B",20,43,2,11,2,0,0,12,4,"13",0,0,"0.256",0.313,0.302,5,"'22","3B",20,0,1,0,13,2,"1","9","8","1.13",48,"Bowdoin",0,0.615,0.112875,-9.04651162790698,-0.0704,-0.562643085921181,-0.148511627906975,"First-Year","Infield"
"47",6,"James  McCarthy","'21","OF",20,42,6,11,1,1,0,10,7,"11",1,1,"0.262",0.367,0.333,6,"'21","OF",20,0,0,1,14,2,"-","10","10","1.00",50,"Bowdoin",0,0.7,0.159275510204082,-7.624980224648,-0.3232,-0.470173170507585,2.16532589780098,"Sophomore","Outfield"
"48",3,"Ben  Suski","'19","IF",25,40,5,4,0,0,1,1,12,"15",2,0,"0.1",0.345,0.175,3,"'19","IF",25,3,0,0,7,1,"-","16","5","3.20",55,"Bowdoin",0,0.52,0.233607272727273,-5.21829457364341,0.136,-0.243185721580095,6.47010542635659,"Senior","Infield"
"49",13,"Owen  Gideon-Murphy","'21","IF",23,36,2,4,1,0,0,1,3,"6",2,0,"0.111",0.195,0.139,13,"'21","IF",23,1,1,2,5,1,"1","11","15","0.73",43,"Bowdoin",0,0.334,0.101312195121951,-8.48959349593496,0.3296,-0.50349252714084,-0.630242276422763,"Sophomore","Infield"
"50",11,"Ejaaz  Jiu","'19","C/OF",15,31,1,5,2,0,0,1,2,"9",2,1,"0.161",0.212,0.226,11,"'19","C/OF",15,0,0,0,7,2,"-","9","7","1.29",33,"Bowdoin",0,0.438,0.121181818181818,-6.00697674418605,-0.0352,-0.369923408995962,0.172023255813955,"Senior","Catcher"
"51",14,"Robbie  Sarmanian","'22","C",13,21,4,6,2,0,0,2,1,"8",1,0,"0.286",0.348,0.381,14,"'22","C",13,1,0,1,8,2,"-","6","2","3.00",24,"Bowdoin",0,0.729,0.174991304347826,-3.36760364004044,0.1648,-0.179850571859315,1.41653549039434,"First-Year","Catcher"
"52",7,"Matt  Nakamoto","'21","C",10,16,0,2,1,0,0,0,0,"3",0,0,"0.125",0.125,0.188,7,"'21","C",10,0,0,1,3,1,"-","4","8","0.50",17,"Bowdoin",0,0.313,0.080625,-3.62897286821705,0,-0.229214536044191,-0.600847868217054,"Sophomore","Catcher"
"53",19,"Josh  Haensly","'21","OF",7,9,1,2,0,0,0,0,1,"6",0,0,"0.222",0.3,0.222,19,"'21","OF",7,0,0,0,2,0,"-","-","1","-",10,"Bowdoin",0,0.522,0.07095,-2.20968992248062,-0.0176,-0.141763217750545,-0.45018992248062,"Sophomore","Outfield"
"54",15,"Aidan  Schraeder","'22","P/OF",12,9,0,2,1,0,0,0,0,"3",0,0,"0.222",0.222,0.333,15,"'22","P/OF",12,0,0,0,3,1,"-","2","2","1.00",9,"Bowdoin",0,0.555,0.143333333333333,-1.48372093023256,0,-0.0886018660353711,0.246279069767442,"First-Year","Outfield"
"55",18,"Nick  Lam","'22","OF",6,6,0,2,0,0,0,1,0,"4",0,0,"0.333",0.333,0.333,18,"'22","OF",6,0,0,0,2,0,"-","-","-","-",6,"Bowdoin",0,0.666,0,-1.65581395348837,0,-0.108968110291046,-0.695813953488372,"First-Year","Outfield"
"56",27,"Ryan  Winn","'21","P",15,3,1,1,0,0,0,0,0,"-",0,0,"0.333",0.333,0.333,27,"'21","P",15,0,0,0,1,0,"-","-","2","-",3,"Bowdoin",0,0.666,0,-0.827906976744186,0,-0.0544840551455229,-0.347906976744186,"Sophomore","Designated Hitter"
"57",32,"Andrew  Cohen","'22","UT",9,1,0,0,0,0,0,0,0,"1",0,0,"0",0,0,32,"'22","UT",9,0,0,0,0,0,"-","-","-","-",1,"Bowdoin",0,0,0,-0.275968992248062,0,-0.0181613517151743,-0.115968992248062,"First-Year","Utility"
"58",34,"William  Wessman","Jr.","3B",28,109,19,28,9,0,3,19,12,"10",1,0,"0.257",0.331,0.422,34,"Jr.","3B",28,1,2,0,46,12,"5","34","39","0.87",124,"Colby",0,0.753,0.219716129032258,-13.1001550387597,-0.0288,-0.673324977951074,12.8646449612403,"Junior","Infield"
"59",2,"Matt  Mitchell","Sr.","IF",27,102,21,37,5,0,0,11,10,"13",6,2,"0.363",0.454,0.412,2,"Sr.","IF",27,7,0,3,42,5,"1","31","17","1.82",122,"Colby",0,0.866,0.157076470588235,-18.8129229366165,0.1008,-1.09621678667289,5.01511235750114,"Senior","Infield"
"60",7,"Will  Phillips","Jr.","P/OF",25,91,15,28,4,5,1,16,5,"8",4,0,"0.308",0.382,0.495,7,"Jr.","P/OF",25,6,0,0,45,10,"1","26","26","1.00",102,"Colby",18,0.877,0.384723529411765,2.27116279069767,0.2896,0.446164879543239,27.4129627906977,"Junior","Outfield"
"61",11,"Chris  Romano","So.","IF",26,81,16,23,3,2,2,14,16,"23",3,1,"0.284",0.4,0.444,11,"So.","IF",26,1,2,1,36,7,"2","18","17","1.06",101,"Colby",16,0.844,0.377583,1.68983178294574,-0.3808,0.349977428863204,26.4230147829457,"Sophomore","Infield"
"62",6,"Jackson  Ward","Sr.","IF",27,79,11,21,3,1,1,16,7,"8",5,2,"0.266",0.326,0.367,6,"Sr.","IF",27,0,0,2,29,5,"4","26","24","1.08",88,"Colby",16,0.693,0.3135,-2.89922480620155,-0.2048,-0.0127763078494174,17.3827286821705,"Senior","Infield"
"63",16,"Keenan  Iuliano","Sr.","IF",22,68,13,20,8,1,0,11,9,"17",2,0,"0.294",0.372,0.441,16,"Sr.","IF",22,0,1,0,30,9,"1","15","16","0.94",78,"Colby",0,0.813,0.234019230769231,-7.37558139534883,0.2416,-0.33936986492132,9.20791860465117,"Senior","Infield"
"64",44,"Dylan  Nastri","Fy.","IF/P",23,66,12,21,5,1,0,13,7,"8",0,2,"0.318",0.395,0.424,44,"Fy.","IF/P",23,2,1,0,28,6,"-","20","16","1.25",76,"Colby",0,0.819,0.189935526315789,-9.78364341085271,-0.9584,-0.614424406999953,5.62145658914729,"First-Year","Infield"
